"clinical_id","candidate_timepoint","timepoint_confidence","classification_basis","run_accession","experiment_accession","sample_accession","sample_alias","library_strategy","library_source","library_selection","fastq_bytes"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967478","SRX3125111","SAMN07552330","KTN1320cell71","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","67785360;105046627"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967479","SRX3125110","SAMN07552331","KTN1320cell72","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","53390288;83048574"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967480","SRX3125109","SAMN07552332","KTN1320cell73","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","49552338;77057776"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967481","SRX3125108","SAMN07552333","KTN1320cell74","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","50811387;77699194"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967482","SRX3125107","SAMN07552334","KTN1320cell75","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","53568681;82077809"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967483","SRX3125106","SAMN07552335","KTN1320cell76","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","84748288;129141046"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967484","SRX3125105","SAMN07552336","KTN1320cell77","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","60164188;92238727"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967485","SRX3125104","SAMN07552337","KTN1320cell78","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","53453248;80915489"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967486","SRX3125103","SAMN07552338","KTN1320cell79","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","68104338;102954977"
"KTN132","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5967487","SRX3125102","SAMN07552339","KTN1320cell80","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","81297323;124032963"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961314","SRX3119645","SAMN07544411","KTN1322cell443","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","35076807;54834543"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961315","SRX3119644","SAMN07544410","KTN1322cell442","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","58877906;90869800"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961316","SRX3119643","SAMN07544407","KTN1322cell439","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","42330471;65496727"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961317","SRX3119642","SAMN07544406","KTN1322cell438","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","62533198;96724560"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961318","SRX3119641","SAMN07544409","KTN1322cell441","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","82005677;128057295"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961319","SRX3119640","SAMN07544408","KTN1322cell440","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","26322738;41245503"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961320","SRX3119639","SAMN07544403","KTN1322cell435","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","27878892;44255520"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961321","SRX3119638","SAMN07544402","KTN1322cell434","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","20818472;31306296"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961322","SRX3119637","SAMN07544405","KTN1322cell437","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","46238883;72013832"
"KTN132","mid_candidate","medium","alias contains 2cell; compatible with 2 cycles","SRR5961323","SRX3119636","SAMN07544404","KTN1322cell436","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","38890030;61037392"
"KTN302","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5968377","SRX3126044","SAMN07554047","KTN3020cell111","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","45579161"
"KTN302","pre_candidate","medium","alias contains 0cell; compatible with 0 cycles","SRR5968378","SRX3126043","SAMN07554048","KTN3020cell112","RNA-Seq","TRANSCRIPTOMIC","RANDOM PCR","168255488"
